doc/bookname,doc/authors,doc/publisher,doc/publication_year/0,doc/isbn13,doc/set_isbn13,doc/bookImageURL,doc/addition_symbol,doc/vol,doc/class_no,doc/book_count,doc/loan_count,doc/reg_date
게임으로 공부하는 아이들:게임 때문에 자녀와 전쟁 중인 학부모를 위한 안내서,"KBS 다큐세상 <게임, 공부의 적일까요?> 제작팀 지음",상상박물관,2019,9788993467437,,https://image.aladin.co.kr/product/18415/84/cover/8993467439_1.jpg,0,,378.9,1,4,2019-06-29
영어 1등급은 이렇게 공부한다,정승익 지음,원앤원콘텐츠그룹,2019,9791160022087,,https://image.aladin.co.kr/product/17949/63/cover/k782534232_1.jpg,4,,740,1,5,2019-06-29
나는 개다,백희나 글·그림,책읽는곰,2019,9791158361365,,https://image.aladin.co.kr/product/18827/90/cover/k262635888_1.jpg,7,56,813.8,1,15,2019-06-29
학교에 페미니즘을=Feminism in schools,초등성평등연구회 지음,마티,2018,9791186000625,,http://image.aladin.co.kr/product/14329/16/cover/k842532944_1.jpg,0,,337.2,1,5,2019-06-29
우리 엄마는 모른다,서지원 글;정경아 그림,잇츠북어린이,2018,9791187903123,,https://image.aladin.co.kr/product/14924/21/cover/k992533760_1.jpg,7,16,808.3,1,3,2019-06-29
이제껏 너를 친구라고 생각했는데:친구가 친구가 아니었음을 깨달은 당신을 위한 관계심리학,성유미 지음,인플루엔셜,2019,9791186560952,,https://image.aladin.co.kr/product/18567/29/cover/k412635766_1.jpg,0,,189.2,1,8,2019-06-29
싸울 때마다 투명해진다:은유 산문집,은유 지음,서해문집,2016,9788974838225,,http://image.aladin.co.kr/product/9839/26/cover/8974838222_2.jpg,0,,814.6,1,4,2019-06-29
매일 같은 옷을 입는 사람이 멋진 시대,미우라 아쓰시 지음;서수지 옮김,뜨인돌,2017,9788958076353,,http://image.aladin.co.kr/product/10784/70/cover/8958076356_1.jpg,0,,331.54,1,2,2019-06-29
깨우자! 수학지능:,서지원;임성숙 [공]글;김현민 그림,와이즈만 Books,2019,9791185394480,9791185394473,https://bookthumb-phinf.pstatic.net/cover/087/365/08736525.jpg?type=m1&udate=20160127,6,,410,1,4,2019-06-29
파운데이션,아이작 아시모프 지음;김옥수 옮김,황금가지,2019,9788960177567,9788960177635,http://image.aladin.co.kr/product/3203/46/cover/8960177563_2.jpg,0,,843,1,3,2019-06-29
언어의 줄다리기:언어 속 숨은 이데올로기 톺아보기,신지영 지음,북이십일,2018,9788950978082,,https://image.aladin.co.kr/product/17232/35/cover/8950978083_1.jpg,0,,710.4,1,2,2019-06-29
욕심쟁이 늑대,키시라 마유코 글·그림;강해령 옮김,북극곰,2016,9791186797402,,https://bookthumb-phinf.pstatic.net/cover/110/689/11068925.jpg?type=m1&udate=20171017,7,,833.8,1,1,2019-06-29
변화의 시작 5AM 클럽:내 안의 무한한 잠재력을 깨우는 아침,로빈 샤르마 지음;김미정 옮김,한경BP,2019,9788947544436,,https://image.aladin.co.kr/product/18000/49/cover/8947544434_1.jpg,0,,189.1,1,3,2019-06-29
